Age,Embarked,Fare,Parch,PClass,Sex,SibSp,FamilySize,Survived
48,1,13,0,2,0,0,0,0
30,1,8.05,0,3,0,0,0,0
38,1,7.05,0,3,0,0,0,0
30,1,0,0,2,0,0,0,0
56,1,26.55,0,1,0,0,0,0
30,3,7.725,0,3,0,0,0,0
0.75,2,19.2583,1,3,1,2,3,1
30,1,7.25,0,3,0,0,0,0
38,1,8.6625,0,3,0,0,0,0
33,1,27.75,2,2,1,1,3,1
23,2,13.7917,0,2,1,0,0,1
22,1,9.8375,0,3,1,0,0,0
30,1,52,0,1,0,0,0,0
34,1,21,0,2,0,1,1,0
29,1,7.0458,0,3,0,1,1,0
22,1,7.5208,0,3,0,0,0,0
2,1,12.2875,1,3,1,0,1,1
9,1,46.9,2,3,0,5,7,0
30,1,0,0,2,0,0,0,0
50,1,8.05,0,3,0,0,0,0
63,1,9.5875,0,3,1,0,0,1
25,2,91.0792,0,1,0,1,1,1
22,1,25.4667,1,3,1,3,4,0
35,1,90,0,1,1,1,1,1
58,2,29.7,0,1,0,0,0,0
30,1,8.05,0,3,0,0,0,0
9,1,15.9,1,3,0,1,2,1
30,1,19.9667,0,3,0,1,1,0
21,1,7.25,0,3,0,0,0,0
55,1,30.5,0,1,0,0,0,0
71,2,49.5042,0,1,0,0,0,0
21,1,8.05,0,3,0,0,0,0
30,2,14.4583,0,3,0,0,0,0
54,2,78.2667,0,1,1,1,1,1
30,1,15.1,0,3,0,0,0,0
25,1,151.55,2,1,1,1,3,0
24,1,7.7958,0,3,0,0,0,0
17,1,8.6625,0,3,0,0,0,0
21,3,7.75,0,3,1,0,0,0
22,3,7.6292,0,3,1,0,0,0
37,1,9.5875,0,3,1,0,0,0
16,1,86.5,0,1,1,0,0,1
18,2,108.9,0,1,0,1,1,0
33,1,26,2,2,1,0,2,1
30,1,26.55,0,1,0,0,0,1
28,1,22.525,0,3,0,0,0,0
26,1,56.4958,0,3,0,0,0,1
29,3,7.75,0,3,0,0,0,1
30,1,8.05,0,3,0,0,0,0
36,1,26.2875,0,1,0,0,0,1
54,2,59.4,0,1,1,1,1,1
24,1,7.4958,0,3,0,0,0,0
47,1,34.0208,0,1,0,0,0,0
34,1,10.5,0,2,1,0,0,1
30,3,24.15,0,3,0,0,0,0
36,1,26,0,2,1,1,1,1
32,1,7.8958,0,3,0,0,0,0
30,1,93.5,0,1,1,0,0,1
22,1,7.8958,0,3,0,0,0,0
30,2,7.225,0,3,0,0,0,0
44,2,57.9792,1,1,1,0,1,1
30,2,7.2292,0,3,0,0,0,0
40.5,3,7.75,0,3,0,0,0,0
50,1,10.5,0,2,1,0,0,1
30,1,221.7792,0,1,0,0,0,0
39,1,7.925,0,3,0,0,0,0
23,1,11.5,1,2,0,2,3,0
2,1,26,1,2,1,1,2,1
30,2,7.2292,0,3,0,0,0,0
17,2,7.2292,1,3,0,1,2,0
35.5,2,22.3583,2,3,1,0,2,1
30,1,8.6625,0,3,1,0,0,0
7,1,26.25,2,2,1,0,2,1
45,1,26.55,0,1,0,0,0,0
30,2,106.425,0,1,1,0,0,1
30,1,14.5,0,3,0,0,0,0
22,2,49.5,2,1,1,0,2,1
36,1,71,2,1,1,0,2,1
9,1,31.275,2,3,1,4,6,0
11,1,31.275,2,3,1,4,6,0
32,1,26,0,2,0,1,1,1
50,2,106.425,0,1,0,1,1,0
64,1,26,0,1,0,0,0,0
19,1,26,0,2,1,1,1,1
30,2,13.8625,0,2,0,0,0,1
33,1,20.525,1,3,0,1,2,0
8,1,36.75,1,2,0,1,2,1
17,2,110.8833,2,1,0,0,2,1
27,1,26,0,2,0,0,0,0
30,3,7.8292,0,3,0,0,0,0
22,2,7.225,0,3,0,0,0,1
22,1,7.775,0,3,1,0,0,1
62,1,26.55,0,1,0,0,0,0
48,2,39.6,0,1,1,1,1,1
30,2,227.525,0,1,0,0,0,0
39,1,79.65,1,1,1,1,2,1
36,1,17.4,0,3,1,1,1,1
30,3,7.75,0,3,0,0,0,0
40,1,7.8958,0,3,0,0,0,0
28,1,13.5,0,2,0,0,0,0
30,1,8.05,0,3,0,0,0,0
22,1,8.05,0,3,1,0,0,0
24,1,24.15,0,3,0,2,2,0
19,1,7.8958,0,3,0,0,0,0
29,1,21.075,4,3,1,0,4,0
30,2,7.2292,0,3,0,0,0,0
32,1,7.8542,0,3,0,0,0,1
62,1,10.5,0,2,0,0,0,1
53,1,51.4792,0,1,1,2,2,1
36,1,26.3875,0,1,0,0,0,1
22,3,7.75,0,3,1,0,0,1
16,1,8.05,0,3,0,0,0,0
19,1,14.5,0,3,0,0,0,0
34,1,13,0,2,1,0,0,1
39,1,55.9,0,1,1,1,1,1
35.5,2,14.4583,0,3,1,1,1,0
32,1,7.925,0,3,0,0,0,1
25,1,30,1,2,1,1,2,1
39,2,110.8833,1,1,1,1,2,1
54,1,26,0,2,0,0,0,0
36,2,40.125,0,1,0,0,0,0
30,2,8.7125,0,3,0,0,0,0
18,1,79.65,2,1,1,0,2,1
47,1,15,0,2,0,0,0,0
60,2,79.2,1,1,0,1,2,1
22,1,8.05,0,3,0,0,0,0
30,1,8.05,0,3,0,0,0,0
35,1,7.125,0,3,0,0,0,0
52,2,78.2667,0,1,1,1,1,1
47,1,7.25,0,3,0,0,0,0
22,3,7.75,2,3,1,0,2,0
37,1,26,0,2,0,1,1,0
36,1,24.15,1,3,0,1,2,0
22,1,33,0,2,1,0,0,1
49,1,0,0,3,0,0,0,0
30,2,7.225,0,3,0,0,0,0
49,2,56.9292,0,1,0,1,1,1
24,1,27,1,2,1,2,3,1
30,1,7.8958,0,3,0,0,0,0
30,1,42.4,0,1,0,0,0,0
44,1,8.05,0,3,0,0,0,0
35,2,26.55,0,1,0,0,0,1
36,1,15.55,0,3,0,1,1,0
30,1,7.8958,0,3,0,0,0,0
27,1,30.5,0,1,0,0,0,1
22,2,41.5792,2,2,1,1,3,1
40,1,153.4625,0,1,1,0,0,1
39,1,31.275,5,3,1,1,6,0
30,1,7.05,0,3,0,0,0,0
22,3,15.5,0,3,1,1,1,1
30,3,7.75,0,3,0,0,0,0
35,1,8.05,0,3,0,0,0,0
24,1,65,2,2,1,1,3,1
34,1,14.4,1,3,0,1,2,0
26,1,16.1,0,3,1,1,1,0
4,1,39,1,2,1,2,3,1
26,1,10.5,0,2,0,0,0,0
27,2,14.4542,0,3,0,1,1,0
42,1,52.5542,0,1,0,1,1,1
20,2,15.7417,1,3,0,1,2,1
21,1,7.8542,0,3,0,0,0,0
21,1,16.1,0,3,0,0,0,0
61,1,32.3208,0,1,0,0,0,0
57,3,12.35,0,2,0,0,0,0
21,1,77.9583,0,1,1,0,0,1
26,1,7.8958,0,3,0,0,0,0
30,3,7.7333,0,3,0,0,0,0
80,1,30,0,1,0,0,0,1
51,1,7.0542,0,3,0,0,0,0
32,2,30.5,0,1,0,0,0,1
30,1,0,0,1,0,0,0,0
9,1,27.9,2,3,1,3,5,0
28,1,13,0,2,1,0,0,1
32,1,7.925,0,3,0,0,0,0
31,1,26.25,1,2,0,1,2,0
41,1,39.6875,5,3,1,0,5,0
30,1,16.1,0,3,0,1,1,0
20,1,7.8542,0,3,0,0,0,0
24,2,69.3,0,1,1,0,0,1
2,1,27.9,2,3,1,3,5,0
30,1,56.4958,0,3,0,0,0,1
0.75,2,19.2583,1,3,1,2,3,1
48,2,76.7292,0,1,0,1,1,1
19,1,7.8958,0,3,0,0,0,0
56,2,35.5,0,1,0,0,0,1
30,1,7.55,0,3,0,0,0,0
23,1,7.55,0,3,1,0,0,1
30,1,7.8958,0,3,0,0,0,0
18,1,23,1,2,1,0,1,1
21,1,8.4333,0,3,0,0,0,0
22,3,7.8292,0,3,1,0,0,1
18,3,6.75,0,3,1,0,0,0
24,1,73.5,0,2,0,2,2,0
30,1,7.8958,0,3,0,0,0,0
32,3,15.5,1,3,1,1,2,0
23,1,13,0,2,0,0,0,0
58,2,113.275,2,1,0,0,2,0
50,1,133.65,0,1,0,2,2,1
40,2,7.225,0,3,0,0,0,0
47,1,25.5875,0,1,0,0,0,0
36,1,7.4958,0,3,0,0,0,0
20,1,7.925,0,3,0,1,1,1
32,1,73.5,0,2,0,2,2,0
25,1,13,0,2,0,0,0,0
30,1,7.775,0,3,0,0,0,0
43,1,8.05,0,3,0,0,0,0
35.5,1,52,0,1,1,1,1,1
40,1,39,1,2,1,1,2,1
31,1,52,0,1,0,1,1,0
70,1,10.5,0,2,0,0,0,0
31,1,13,0,2,0,0,0,1
30,1,0,0,2,0,0,0,0
18,1,7.775,0,3,0,0,0,0
24.5,1,8.05,0,3,0,0,0,0
18,1,9.8417,0,3,1,0,0,1
43,1,46.9,6,3,1,1,7,0
36,2,512.3292,1,1,0,0,1,1
22,3,8.1375,0,3,1,0,0,0
27,2,76.7292,0,1,0,0,0,1
20,1,9.225,0,3,0,0,0,0
14,1,46.9,2,3,0,5,7,0
60,1,39,1,2,0,1,2,0
25,2,41.5792,2,2,0,1,3,0
14,1,39.6875,1,3,0,4,5,0
19,1,10.1708,0,3,0,0,0,0
18,1,7.7958,0,3,0,0,0,0
15,1,211.3375,1,1,1,0,1,1
31,1,57,0,1,0,1,1,1
4,2,13.4167,1,3,1,0,1,1
30,1,56.4958,0,3,0,0,0,1
